,Basic,Basic,Basic,Basic,Basic,,,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,,Basic,Basic,,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,,,,,,,,,,,,Basic,Basic,Basic,Basic,,,,,,,,,Basic,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This file is a SAMPLE, showing 1 make with 212 model versions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,See Statistics sheet for list of makes and number of models included for each make.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Visit cardatabase.teoalida.com and buy FULL complete database, with 50+ makes with 4000+ model versions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,708,Chevrolet,Aveo [2006-2009],1.4,Discontinued,Small car,Sedan,,5.97 Lakhs,,4310,1710,1505,2480,,,,4,5,,1399,94,6200,127,3400,Manual,5,,,,,,,,,Sequential Fuel Injection with 32-bit ECM ,,,,,,Petrol,,11.9,45,McPherson Struts with Gas-filled Shock Absorbers ,Torsion Beam with Gas-filled Shock Absorbers ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Intense Black;Cashmere;Sterling Silver;Blazing Red;Platinum Metallic;Amber;Casablanca White;,background-color:#1D2120;height:100%;background-color:#A6AAA1;height:100%;background-color:#B2AEB6;height:100%;background-color:#BA1C32;height:100%;background-color:#CECBC7;height:100%;background-color:#DF6A37;height:100%;background-color:#EDEBEB;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,,No ,,,,,,,,No ,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,709,Chevrolet,Aveo [2006-2009],LS 1.4,Discontinued,Small car,Sedan,,5.97 Lakhs,,4310,1710,1505,2480,,,,4,5,,1399,94,6200,127,3400,Manual,5,,,,,,,,,Sequential Fuel Injection with 32-bit ECM ,,,,,,Petrol,,11.9,45,McPherson Struts with Gas-filled Shock Absorbers ,Torsion Beam with Gas-filled Shock Absorbers ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Intense Black;Cashmere;Sterling Silver;Blazing Red;Platinum Metallic;Amber;Casablanca White;,background-color:#1D2120;height:100%;background-color:#A6AAA1;height:100%;background-color:#B2AEB6;height:100%;background-color:#BA1C32;height:100%;background-color:#CECBC7;height:100%;background-color:#DF6A37;height:100%;background-color:#EDEBEB;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,,No ,,,,,,,,No ,,,,,,,,,,,,Front ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,1373,Chevrolet,Aveo [2006-2009],LS 1.4 Ltd,Discontinued,Small car,Sedan,,6.51 Lakhs,,4310,1710,1505,2480,,,,4,5,,1399,94,6200,127,3400,Manual,5,,16V DOHC  ,,,,,,,Sequential Fuel Injection with 32-bit ECM ,,,,,,Petrol,,11.9,45,McPherson Struts with Gas-filled Shock Absorbers ,Torsion Beam with Gas-filled Shock Absorbers ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Intense Black;Blazing Red;Platinum Metallic;Ivory Gold;,background-color:#1D2120;height:100%;background-color:#BA1C32;height:100%;background-color:#CECBC7;height:100%;background-color:#F4F0CB;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Leather,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,Yes ,No ,,,,,,,,No ,,,,,,,,,,,,Front ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,710,Chevrolet,Aveo [2006-2009],LT 1.6,Discontinued,Small car,Sedan,,6.97 Lakhs,,4310,1710,1505,2480,,,,4,5,,1598,102,6000,147,3500,Manual,5,,,,,,,,,Sequential Fuel Injection with 32-bit ECM ,,,,,,Petrol,,10.8,45,McPherson Struts with Gas-filled Shock Absorbers ,Torsion Beam with Gas-filled Shock Absorbers ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Intense Black;Cashmere;Sterling Silver;Blazing Red;Platinum Metallic;Amber;Casablanca White;,background-color:#1D2120;height:100%;background-color:#A6AAA1;height:100%;background-color:#B2AEB6;height:100%;background-color:#BA1C32;height:100%;background-color:#CECBC7;height:100%;background-color:#DF6A37;height:100%;background-color:#EDEBEB;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,,No ,,,,,,,,No ,,,,,,,,,,,,Front ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,711,Chevrolet,Aveo [2006-2009],LT 1.6 Opt,Discontinued,Small car,Sedan,,7.43 Lakhs,,4310,1710,1505,2480,,,,4,5,,1598,102,6000,147,3500,Manual,5,,,,,,,,,Sequential Fuel Injection with 32-bit ECM ,,,,,,Petrol,,10.8,45,McPherson Struts with Gas-filled Shock Absorbers ,Torsion Beam with Gas-filled Shock Absorbers ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Intense Black;Cashmere;Sterling Silver;Blazing Red;Platinum Metallic;Amber;Casablanca White;,background-color:#1D2120;height:100%;background-color:#A6AAA1;height:100%;background-color:#B2AEB6;height:100%;background-color:#BA1C32;height:100%;background-color:#CECBC7;height:100%;background-color:#DF6A37;height:100%;background-color:#EDEBEB;height:100%;,2 (Driver &amp; Co-Driver),,,,,,,Yes,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,,No ,,,,,,,,No ,,,,,,,,,,,,Front ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,1810,Chevrolet,Aveo [2009-2012],CNG 1.4,Discontinued,Small car,Sedan,,6.01 Lakhs,,4310,1710,1505,2480,181,1095,400,4,5,2,1399,94,6200,127,3400,Manual,5,FWD,E-TEC II  ,"4, Inline ",,,"4, DOHC ",,,Sequential  Fuel Injection with 32bit ECM ,,,,,,,CNG,11.5,45,McPherson strut  ,Torsion Beam ,Disc ,Drum ,,5,,Steel ,185 / 60 R14,185 / 60 R14,Caviar Black;Sanddrift Grey;Velvet Red;Linen Beige;Moonbeam White;Summit White;,background-color:#1a1c1b;height:100%;background-color:#4a5255;height:100%;background-color:#982427;height:100%;background-color:#9f9a7c;height:100%;background-color:#cbbf95;height:100%;background-color:#f2f2f2;height:100%;,No,,,,,,Yes ,No,No ,Yes ,No ,,No ,No ,,,,,No ,With Key,No ,Yes ,Manual,No ,1,Tilt ,No ,Yes ,,,,,Co-Driver Only ,Yes ,,Fabric,No ,No ,,Front &amp; Rear ,,,,No ,,,,,,,,,With Cup Holder ,,No ,,Yes ,Front &amp; Rear ,,Front &amp; Rear ,,No ,Yes ,,,,Front &amp; Rear,,Internally Adjustable ,No ,Yes ,No ,,,No ,Front &amp; Rear ,,,Internal ,No ,No ,No ,Yes ,No ,,,,Conventional ,No ,No ,No ,No ,,,Yes ,No ,No ,,,,No ,No ,No ,Digital ,Yes ,Yes ,,,,,,,No ,Not Available ,,,No ,4,,,,No ,No ,No ,No ,,,,,3,100000,
,1554,Chevrolet,Aveo [2009-2012],LS 1.4,Discontinued,Small car,Sedan,,5.99 Lakhs,,4310,1710,1505,2480,181,1095,400,4,5,2,1399,94,6200,127,3400,Manual,5,FWD,E-TEC II  ,"4, Inline ",,,"4, DOHC ",,,Sequential  Fuel Injection with 32bit ECM ,,,,,,Petrol,,14.49,45,McPherson strut ,Torsion Beam ,Disc ,Drum ,,5,,Steel ,185 / 60 R14,185 / 60 R14,Caviar Black;Sanddrift Grey;Velvet Red;Linen Beige;Moonbeam White;Summit White;,background-color:#1a1c1b;height:100%;background-color:#4a5255;height:100%;background-color:#982427;height:100%;background-color:#9f9a7c;height:100%;background-color:#cbbf95;height:100%;background-color:#f2f2f2;height:100%;,No,,,,,,Yes ,No,No ,Yes ,No ,,No ,No ,,,,,No ,With Key,No ,Yes ,Manual,No ,1,Tilt ,No ,Yes ,,,,,Co-Driver Only ,Yes ,,Fabric,No ,No ,,Front &amp; Rear ,,,,No ,,,,,,,,,With Cup Holder ,,No ,,Yes ,Front &amp; Rear ,,Front &amp; Rear ,,No ,Yes ,,,,Front &amp; Rear,,Internally Adjustable ,No ,Yes ,No ,,,No ,Front &amp; Rear ,,,Internal ,No ,No ,No ,Yes ,No ,,,,Conventional ,No ,No ,No ,No ,,,Yes ,No ,No ,,,,No ,No ,No ,Digital ,Yes ,Yes ,,,,,,,No ,Not Available ,,,No ,4,,,,No ,No ,No ,No ,,,,,3,100000,
,1555,Chevrolet,Aveo [2009-2012],LT 1.4,Discontinued,Small car,Sedan,,6.81 Lakhs,,4310,1710,1505,2480,181,1095,400,4,5,2,1399,94,6200,127,3400,Manual,5,FWD,E-TEC II  ,"4, Inline ",,,"4, DOHC ",,,Sequential  Fuel Injection with 32bit ECM ,,,,,,Petrol,,14.49,45,McPherson strut ,Torsion Beam  ,Disc ,Drum ,,5,,Steel ,185 / 60 R14,185 / 60 R14,Caviar Black;Sanddrift Grey;Velvet Red;Linen Beige;Moonbeam White;Summit White;,background-color:#1a1c1b;height:100%;background-color:#4a5255;height:100%;background-color:#982427;height:100%;background-color:#9f9a7c;height:100%;background-color:#cbbf95;height:100%;background-color:#f2f2f2;height:100%;,No,,,,,,Yes ,No,No ,Yes ,No ,,No ,No ,,,,,No ,With Key,No ,Yes ,Automatic Climate Control,No ,1,Tilt ,No ,Yes ,,,,,Co-Driver Only ,Yes ,,Leather,Yes ,Yes ,,Front &amp; Rear ,,,,No ,,,,,,,,,With Cup Holder ,,No ,,Yes ,Front &amp; Rear ,,Front &amp; Rear ,,No ,Yes ,,,,Front &amp; Rear,,Electrically Adjustable ,No ,Yes ,No ,,,No ,Front &amp; Rear ,,,Internal ,No ,No ,Yes ,Yes ,No ,,,,Conventional ,No ,No ,No ,Front ,,,Yes ,No ,No ,,,,No ,No ,No ,Digital ,Yes ,Yes ,,,,,,,Yes ,2 Din ,,,No ,6,,,,Yes ,Yes ,No ,Yes ,,,,,3,100000,
,1556,Chevrolet,Aveo [2009-2012],LT 1.4 ABS,Discontinued,Small car,Sedan,,7.1 Lakhs,,4310,1710,1505,2480,181,1095,400,4,5,2,1399,94,6200,127,3400,Manual,5,FWD,E-TEC II  ,"4, Inline ",,,"4, DOHC ",,,Sequential  Fuel Injection with 32bit ECM ,,,,,,Petrol,,14.49,45,McPherson strut ,Torsion Beam ,Disc ,Drum ,,5,,Steel ,185 / 60 R14,185 / 60 R14,Caviar Black;Sanddrift Grey;Velvet Red;Linen Beige;Moonbeam White;Summit White;,background-color:#1a1c1b;height:100%;background-color:#4a5255;height:100%;background-color:#982427;height:100%;background-color:#9f9a7c;height:100%;background-color:#cbbf95;height:100%;background-color:#f2f2f2;height:100%;,1 (Driver Only),,,,,,Yes ,Yes,No ,Yes ,No ,,No ,No ,,,,,No ,Remote,No ,Yes ,Automatic Climate Control,No ,1,Tilt ,No ,Yes ,,,,,Co-Driver Only ,Yes ,,Leather,Yes ,Yes ,,Front &amp; Rear ,,,,No ,,,,,,,,,With Cup Holder ,,No ,,Yes ,Front &amp; Rear ,,Front &amp; Rear ,,No ,Yes ,,,,Front &amp; Rear,,Electrically Adjustable ,No ,Yes ,No ,,,No ,Front &amp; Rear ,,,Internal ,No ,No ,Yes ,Yes ,No ,,,,Conventional ,No ,No ,No ,Front ,,,Yes ,No ,No ,,,,No ,No ,No ,Digital ,Yes ,Yes ,,,,,,,Yes ,2 Din ,,,No ,6,,,,Yes ,Yes ,No ,Yes ,,,,,3,100000,
,1557,Chevrolet,Aveo [2009-2012],LT 1.6 ABS,Discontinued,Small car,Sedan,,7.26 Lakhs,,4310,1710,1505,2480,,,,4,5,,1598,102,6000,147,3500,Manual,5,,16 DOHC ,,,,,,,Sequential  Fuel Injection with 32bit ECM ,,,,,,Petrol,,13.1,45,McPherson strut Gas filled ,Torsion Beam Gas filled ,Disc ,Drum ,,5,,,185 / 60 R14,185 / 60 R14,Caviar Black;Sanddrift Grey;Velvet Red;Linen Beige;Moonbeam White;Summit White;,background-color:#1a1c1b;height:100%;background-color:#4a5255;height:100%;background-color:#982427;height:100%;background-color:#9f9a7c;height:100%;background-color:#cbbf95;height:100%;background-color:#f2f2f2;height:100%;,2 (Driver &amp; Co-Driver),,,,,,,Yes,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Only,,,,Yes ,No ,,,,,,,,No ,,,,,,,,,,,,Front ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
,1097,Chevrolet,Aveo U-VA [2006-2012],1.2,Discontinued,Small car,Hatchback,,4.15 Lakhs,,3880,1670,1495,2480,,,,5,5,,1150,76,5500,110,4400,Manual,5,FWD,,,,,,,,Sequential Electronic Fuel Injection ,,,,,,Petrol,,11.72,45,"Mcpherson Struts with Anti Torsion roll bars, Hydraulic shock-absorbers ","Torsion Beam, Gas Filled shock-absorbers ",Disc ,Drum ,,4.9,,,155 / 80 R13,155 / 80 R13,Sanddrift Grey;Caviar Black;Linen Beige;Velvet Red;Moonbeam White;Summit White;,background-color:#2b3033;height:100%;background-color:#2c2827;height:100%;background-color:#655e4c;height:100%;background-color:#730208;height:100%;background-color:#eae7d6;height:100%;background-color:#f2f2f2;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,No,,Yes ,Manual,,,No ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,No ,,,,,Front Only ,,,,,,,Front Only,,,,No ,No ,,,,,,,,No ,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No ,,No ,,,,,,,
,1098,Chevrolet,Aveo U-VA [2006-2012],LS 1.2,Discontinued,Small car,Hatchback,,4.21 Lakhs,,3880,1670,1495,2480,188,1075,220,5,5,2,1150,76,5500,110,4400,Manual,5,FWD,8V SOHC ,"4, Inline ",68.5 x 78 ,9.3:1 ,"2, SOHC ",,,Sequential Electronic Fuel Injection ,,,,,,Petrol,,15.26,45,McPherson Struts with Anti-roll bars ,Torsion Beam Axle ,Disc ,Drum ,,4.9,,Steel ,155 / 80 R13,155 / 80 R13,Sanddrift Grey;Caviar Black;Linen Beige;Velvet Red;Moonbeam White;Summit White;,background-color:#2b3033;height:100%;background-color:#2c2827;height:100%;background-color:#655e4c;height:100%;background-color:#730208;height:100%;background-color:#eae7d6;height:100%;background-color:#f2f2f2;height:100%;,No,,,,,,Yes ,No,No ,No ,No ,,No ,No ,,,,,No ,No,No ,Yes ,Manual,No ,1,No ,No ,Yes ,,,,,Co-Driver Only ,Yes ,,Fabric,No ,No ,,Front &amp; Rear ,,,,No ,,,,,,,,,No ,,No ,,,Front &amp; Rear ,,Front &amp; Rear ,,No ,No ,,,,Front Only,,Internally Adjustable ,No ,No ,No ,,,No ,Front ,,,Internal ,No ,No ,No ,Yes ,No ,,,,Conventional ,No ,No ,No ,No ,,,Yes ,No ,No ,,,,No ,No ,No ,Digital ,Yes ,Yes ,,,,,,,No ,Not Available ,,,No ,No ,,,,No ,No ,No ,No ,,,,,3,100000,
,1548,Chevrolet,Aveo U-VA [2006-2012],LS 1.2 Techno,Discontinued,Small car,Hatchback,,N/A ,,3880,1670,1495,2480,,,,5,5,,1150,76,5500,110,4400,Manual,5,FWD,,,,,,,,Sequential Electronic Fuel Injection ,,,,,,Petrol,,11.72,45,"Mcpherson Struts with Anti Torsion roll bars, Hydraulic shock-absorbers ","Torsion Beam, Gas Filled shock-absorbers ",Disc ,Drum ,,4.9,,,155 / 80 R13,155 / 80 R13,Intense Black;Velocity;Cashmere;Rainforest Green;Sterling Silver;Platinum Metallic;Blazing Red;,background-color:#000000;height:100%;background-color:#5E6FB3;height:100%;background-color:#AFB0AA;height:100%;background-color:#B3BFA6;height:100%;background-color:#c0BFC4;height:100%;background-color:#DDD9D6;height:100%;background-color:#FF0000;height:100%;,No,,,,,,,No,,,,,,,,,,,No ,Yes,,Yes ,Manual,,,Tilt &amp; Telescopic ,,,,,,,,,,Fabric,,,,,,,,,,,,,,,,,,,Yes ,,,,,Front Only ,,,,,,,Front Only,,,,No ,No ,,,,,,,,No ,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,Yes ,,,,,,,
